Photon energy	QE(%)(%)
1.7712028336747536	0.0019721669695596804
1.7943058025293206	0.0050434510173005325
1.81740916350753	0.009376902942947277
1.8405112279145055	0.018221189147395397
1.8636141339663328	0.029861034673481966
1.8867156518023132	0.047318170745717765
1.9098173790459054	0.07114266486803957
1.932922145649167	0.11732395415377747
1.9560248250749026	0.16947859080693273
1.9791270994148502	0.23301446518057597
2.0022285440688976	0.3463379517805744
2.0253329296945566	0.4734581663846815
2.0484351159286587	0.6154094531256746
2.071537265810981	0.8195736890974543
2.094639040215991	1.0784258076049302
2.117740874315409	1.3820212113238761
2.140844020624356	1.7708962954670473
2.1639468152283214	2.1914525712899433
2.18705203125824	2.707147028513588
2.2101515636539313	3.4839297860192144
2.233257411346983	4.185446126851324
2.2563586166983223	5.024842988438074
2.2794606983251686	6.117703475758465
2.302561710152857	7.4174221063125305
2.325664509348539	8.791049002259625
2.3487683186023944	10.266360681543766
2.3718728582459443	11.890053978877036
2.3949737457572224	13.787296982050224
