Photon energy	QE(%)(%)
1.7943058025293206	0.020320326681660002
1.81740916350753	0.025508116201920002
1.8405112279145053	0.052644217184019994
1.8636141339663328	0.06856274831557
1.8867156518023127	0.09914306423529999
1.9098173790459048	0.15616377020802
1.932922145649167	0.25811362797508003
1.9560248250749024	0.37326594447322
1.9791270994148504	0.48689012413278
2.0022285440688976	0.68177734929668
2.0253329296945566	0.9453164116595599
2.0484351159286587	1.3091325523205801
2.071537265810981	1.73795341613267
2.094639040215991	2.23962079893648
2.117740874315409	2.83608167204035
2.140844020624356	3.32616333293393
2.163946815228321	3.76524065554031
2.18705203125824	4.307364117701161
2.210151563653932	5.04422409484732
2.233257411346983	5.79257550041648
2.2563586166983223	6.72656071055865
2.2794606983251686	7.92912510235721
2.302561710152857	9.36954643868675
2.325664509348539	10.83099360461528
2.3487683186023944	12.21427083747138
2.3718728582459443	13.634628789477372
2.3949737457572224	14.68785010246439
2.4180762211813955	15.34147733744627
2.441181650158358	16.24566035187239
2.4642822033735703	16.58578726928301
