Photon energy	QE(%)(%)
1.7712028336747536	0.005374236070224423
1.7943058025293206	0.010722465290600001
1.81740916350753	0.01900644406017
1.8405112279145053	0.03537373828945
1.8636141339663328	0.0681564443473
1.8867156518023127	0.11210218980349
1.9098173790459052	0.15588011172955
1.932922145649167	0.21939638144579998
1.9560248250749024	0.30719111423719
1.9791270994148504	0.4133036130375
2.0022285440688976	0.61316345018636
2.0253329296945566	0.84317223630854
2.0484351159286587	1.22814197013165
2.071537265810981	1.82873834796955
2.094639040215991	2.7188856700211197
2.117740874315409	3.75841382586207
2.140844020624356	4.824807058665391
2.163946815228321	5.73176226107249
2.18705203125824	6.322349943727009
2.2101515636539317	7.28286916489473
2.233257411346983	8.41733871895166
2.2563586166983223	9.73755462463398
2.2794606983251686	11.28577987355353
2.302561710152857	13.182547825253629
2.325664509348539	15.259248134634051
2.3487683186023944	16.758162891713898
2.3718728582459443	18.54416064630336
2.3949737457572224	19.57542766298578
