Photon energy (eV)	p1(%)	p2(%)
1.81740916350753	46.81796795818848	4.0976003503392
1.8405112279145053	49.175004376851454	3.32467919826942
1.8636141339663328	51.58526421683881	2.49713388965478
1.8867156518023127	54.059156930092925	1.84605457838269
1.9098173790459048	56.4764552412874	1.63693993745234
1.932922145649167	58.848426680685314	1.68495293280987
1.9560248250749024	61.095953204617906	1.7719619949122598
1.9791270994148504	62.88884884153407	2.0310198562240998
2.0022285440688976	63.88914098927339	2.74809889974818
2.0253329296945566	64.14704643228018	3.9485624953339302
2.0484351159286587	64.13919579843635	5.28779258536511
2.071537265810981	64.33781561941288	6.3655648299922
2.094639040215991	64.91173651640126	7.00360548126825
2.117740874315409	65.78038580762843	7.2485887244240805
2.140844020624356	66.74911620979451	7.29704659666289
2.163946815228321	67.54398101722026	7.46157136704687
2.18705203125824	67.8250808327697	8.11803193329043
2.210151563653932	67.26646847470742	9.57694315921677
2.233257411346983	65.68148583774641	11.96893078411303
2.2563586166983223	63.05442664638892	15.260888740426232
2.2794606983251686	59.488683489221	19.33685108739122
2.302561710152857	55.17607218039085	24.00603617343663
2.325664509348539	50.41073833597909	28.970825710640742
2.3487683186023944	45.57427927899671	33.85811841436552
2.3718728582459443	41.084032051528396	38.29330698564885
2.3949737457572224	37.3442837612246	41.943246577758195
2.4180762211813955	34.680256436681944	44.534018145011714
2.441181650158358	33.23629997761628	45.89266320279619
2.4642822033735703	32.919575204900696	45.99205604799008
