Photon energy (eV)	Abs(%)
1.7968724399598952	5.681244405682673
1.800287768494619	5.755418657717348
1.8037003607457909	5.825667723350558
1.8071153794512487	5.8927424534360835
1.8105274907743731	5.959202590617441
1.8139418960922529	6.02472400263202
1.8173558844722733	6.086790265082831
1.8207720522456765	6.147755937960486
1.8241849835321717	6.204385329974437
1.8275999575063164	6.260341356786004
1.8310142210734175	6.309792331025898
1.8344276944701643	6.354712621798919
1.8378402973712982	6.401294950159708
1.8412546832821395	6.442816552429942
1.844668056650917	6.4831833480533785
1.8480830902282488	6.520244712124712
1.851496967148656	6.55248321020232
1.854912379486135	6.583244391335352
1.858326488982508	6.61121690080122
1.8617392115315323	6.714080433635883
1.8651532683038896	6.810529650558827
1.8685686049091257	6.904797433410437
1.871982340083386	6.995617349251915
1.8753943875789618	7.084800244910461
1.8788103547347927	7.174116123930629
1.8822245014465033	7.26085437060947
1.8856367398848208	7.343299969765926
1.8890527380621451	7.422843300456671
1.8924666922675673	7.498968743746093
1.895881412141193	7.569831592975662
1.899293929561418	7.637327606456157
1.9027070740191026	7.70211843330314
1.9061237163884923	7.7675551054706915
1.9095350052708768	7.830588440871966
1.9129496715514727	7.8884081014407474
1.9163647238418857	7.94302291118435
1.9197771281619624	7.990710594021078
1.9231927572828145	8.1195181256546
1.9266055931085977	8.255225255127097
1.9300215498372157	8.389150474169382
1.9334345660637862	8.517746906172297
1.9368475718714013	8.645627076755414
1.9402635394797358	8.771246406540467
1.9436763422440213	8.894564793618098
1.9470919985871222	9.011264080100123
1.9505043381792673	9.12728991359204
1.9539194213964546	9.239455987832134
1.9573341241113162	9.349101799570047
1.9607483795232683	9.455014891474356
1.9641621203809811	9.557053834828288
1.96757527898271	9.655020390168634
1.9709909204783882	9.748093651468048
1.9744027205200465	9.841700177527201
1.9778168875600641	9.932437098593494
1.9812302188457027	10.020089233572381
1.9846458213436289	10.18345255578189
1.9880604697108089	10.370103556956334
1.9914740931973298	10.549989652695778
1.9948866206051836	10.727158268941173
1.9983012010230148	10.896926379561766
2.0017145636389473	11.068583579294799
2.0051298787426357	11.23572357493272
2.0085438527036623	11.400564248582846
2.011956412179612	11.561777430318621
2.0153707593752332	11.72646975787478
2.018786853372337	11.883828634959182
2.022201354676248	12.038402170677841
2.025614188249822	12.19414529284074
2.0290285991574	12.343214084527132
2.0324412132799714	12.488870550934884
2.0358552972191073	12.630998750643052
2.0392708078553636	12.768545396204745
2.042684336335135	12.902859134757483
2.046099181740409	13.10155493009737
2.0495119119462557	13.345866127912508
2.052925847763313	13.589567061541985
2.0563409442666014	13.830948825409074
2.0597537343149326	14.069831856100102
2.0631675714792763	14.30685416201648
2.066582409762725	14.541732389166706
2.069998202832799	14.769427294017456
2.07341143660962	14.998616826307964
2.0768255086313614	15.222836580656484
2.080240371491584	15.440935338989103
2.083652475698537	15.659550978671033
2.087068765177074	15.874919584597013
2.090482176490084	16.086290909769808
2.0938961625684023	16.296145275235887
2.0973106742568444	16.50552033757875
2.1007221027050713	16.708303150145852
2.1041375052140516	16.90605041682417
2.107553283820474	17.157776044424146
2.110965793862313	17.479475541901056
2.114378555375346	17.796203523767783
2.11779513455235	18.11104242942957
2.1212082566105064	18.420900184946
2.1246214754160717	18.729119941266237
2.1280347387115297	19.036599570588052
2.13145165814091	19.340426009976184
2.134864864035387	19.64097630890963
2.1382779556359903	19.938328136049055
2.1416908793319966	20.2330615773468
2.1451072925163026	20.52802278684013
2.1485197300358494	20.817633622880994
2.151935571814951	21.105371096285154
2.155347304729031	21.388431621407655
2.15876235539207	21.66746513871056
2.1621769332104357	21.94832997318812
2.165590982259676	22.22241303919924
2.1690044462776323	22.535042932460282
2.172417268664718	22.93661053745494
2.1758332109078022	23.33414122388494
2.1792484212889223	23.730251283991834
2.182658999813971	24.125010717654106
2.1860764158805677	24.51889503019111
2.1894890839569947	24.90872049366907
2.1929046664809437	25.29469879481948
2.1963153594663116	25.677742969635652
2.1997327757110168	26.05913794465362
2.2031451836881217	26.439313658028873
2.206560341228121	26.81752612476165
2.20997428540523	27.190833057910435
2.2133869557272043	27.557736921326757
2.2168022549403044	27.927389225954467
2.2202161827333406	28.293257202393598
2.223628677655293	28.651137812046123
2.227043678202057	29.007484588986408
2.23045714650813	29.38415151569862
2.233873045017067	29.87432516963626
2.2372873107488784	30.357166157476712
2.2406998806717304	30.837238907474827
2.2441147532649293	31.31293876623651
2.247527827709255	31.785076052511574
2.2509431266177584	32.25674212755118
2.254356523870728	32.72372241726445
2.2577720662928624	33.19003924296272
2.2611856023860875	33.65036241363504
2.264597066922491	34.10871694417239
2.2680105431522555	34.56450204821705
2.27142600266437	35.0156066764833
2.2748392429917357	35.46396979479576
2.2782543840346183	35.90770003653635
2.2816671977230616	36.34803955755792
2.2850818284686114	36.785358383021624
2.288498246625101	37.21880996229908
2.2919121856026052	37.65178707336355
2.295323577407301	38.210042927024055
2.298740877697569	38.76458378795338
2.3021512698211293	39.3141509580007
2.3055675088744563	39.86124631665122
2.308981001689733	40.40331792512251
2.312395991533179	40.94034984837008
2.3158081212523536	41.47586492645535
2.319221659001649	42.00740359723757
2.3226365726484572	42.533934062790536
2.326052829839421	43.05597614666077
2.3294660212954	43.57362217795484
2.3328804652287407	44.088750984730275
2.3362917261598666	44.59932991116712
2.339708562674114	45.105571627155584
2.34312212354047	45.60526131137293
2.3465367773256434	46.102750254292104
2.3499480359745712	46.596015962643435
2.3533647602722803	47.08284950446924
2.3567779947200074	47.67252184961966
2.360192158541991	48.2715255847749
