Photon energy (eV)	p(%)	
1.7968724399598952	46.5483703367334
1.800287768494619	46.84625741611584
1.8037003607457909	47.141337004947594
1.8071153794512487	47.43929095119497
1.8105274907743731	47.73677862000883
1.8139418960922529	48.03451489596355
1.8173558844722733	48.33335485294044
1.8207720522456765	48.632596854739354
1.8241849835321717	48.93221683957173
1.8275999575063164	49.23234154353225
1.8310142210734175	49.533929685365734
1.8344276944701643	49.83359562514363
1.8378402973712982	50.135160073782224
1.8412546832821395	50.436464846786144
1.844668056650917	50.73763842832798
1.8480830902282488	51.03969502510351
1.851496967148656	51.34150279655499
1.854912379486135	51.643769164453616
1.858326488982508	51.94497122215287
1.8617392115315323	52.246857393357274
1.8651532683038896	52.547274134407196
1.8685686049091257	52.85012967772934
1.871982340083386	53.1531501953222
1.8753943875789618	53.454301863343815
1.8788103547347927	53.75667400269454
1.8822245014465033	54.05743555079587
1.8856367398848208	54.35804826361695
1.8890527380621451	54.658024450518425
1.8924666922675673	54.95918886133381
1.895881412141193	55.259344910159335
1.899293929561418	55.55949139394033
1.9027070740191026	55.85861934579051
1.9061237163884923	56.156907005431755
1.9095350052708768	56.455286071788024
1.9129496715514727	56.75258758168597
1.9163647238418857	57.050067512234314
1.9197771281619624	57.34542786873658
1.9231927572828145	57.64187521892092
1.9266055931085977	57.93577900649672
1.9300215498372157	58.23076192420971
1.9334345660637862	58.52469372379785
1.9368475718714013	58.817537591546184
1.9402635394797358	59.10969060718273
1.9436763422440213	59.39952535743117
1.9470919985871222	59.68933285067
1.9505043381792673	59.977644645654294
1.9539194213964546	60.26566666842271
1.9573341241113162	60.55240692344701
1.9607483795232683	60.83833308634999
1.9641621203809811	61.123506858784026
1.96757527898271	61.406885221090654
1.9709909204783882	61.6905297568908
1.9744027205200465	61.970784891547105
1.9778168875600641	62.251044300414485
1.9812302188457027	62.52940970164709
1.9846458213436289	62.80730445611991
1.9880604697108089	63.08389886816844
1.9914740931973298	63.35879493462788
1.9948866206051836	63.63269447949397
1.9983012010230148	63.905442253731536
2.0017145636389473	64.17771337678582
2.0051298787426357	64.44781773666902
2.0085438527036623	64.71667713655553
2.011956412179612	64.9839037855945
2.0153707593752332	65.24917644896172
2.018786853372337	65.51341016219986
2.022201354676248	65.77482293776124
2.025614188249822	66.03564319541476
2.0290285991574	66.295476926233
2.0324412132799714	66.55433066776799
2.0358552972191073	66.81098827317822
2.0392708078553636	67.0672616294478
2.042684336335135	67.32184263718551
2.046099181740409	67.57465046679076
2.0495119119462557	67.82589361336817
2.052925847763313	68.07469003172596
2.0563409442666014	68.32218093996745
2.0597537343149326	68.5672894981025
2.0631675714792763	68.81145897740352
2.066582409762725	69.05215799420917
2.069998202832799	69.2926408420049
2.07341143660962	69.53155281215045
2.0768255086313614	69.76853230617773
2.080240371491584	70.00469883165187
2.083652475698537	70.23904563279856
2.087068765177074	70.47271540420915
2.090482176490084	70.70389913335131
2.0938961625684023	70.93315405301803
2.0973106742568444	71.15987348187032
2.1007221027050713	71.3853934850706
2.1041375052140516	71.60910086565868
2.107553283820474	71.8305804687829
2.110965793862313	72.05141199562948
2.114378555375346	72.26995575488714
2.11779513455235	72.48761299475979
2.1212082566105064	72.7026378656959
2.1246214754160717	72.91625355005776
2.1280347387115297	73.12826335433512
2.13145165814091	73.33927350644555
2.134864864035387	73.5478525225752
2.1382779556359903	73.75462267478335
2.1416908793319966	73.96008142020014
2.1451072925163026	74.16338643105797
2.1485197300358494	74.36495514008008
2.151935571814951	74.56530568736682
2.155347304729031	74.76383194055094
2.15876235539207	74.96063353899154
2.1621769332104357	75.15569929893401
2.165590982259676	75.34933716516888
2.1690044462776323	75.54097264569529
2.172417268664718	75.73171216732675
2.1758332109078022	75.91993495704772
2.1792484212889223	76.10731961129153
2.182658999813971	76.2923110906321
2.1860764158805677	76.4762190955987
2.1894890839569947	76.65772219889814
2.1929046664809437	76.8382341332303
2.1963153594663116	77.01661224996738
2.1997327757110168	77.19318148576258
2.2031451836881217	77.36874894204861
2.206560341228121	77.54255644974896
2.20997428540523	77.71523432625933
2.2133869557272043	77.88501934685877
2.2168022549403044	78.05373884639005
2.2202161827333406	78.22123167640183
2.223628677655293	78.3872731232011
2.227043678202057	78.55151177343215
2.23045714650813	78.71386902382122
2.233873045017067	78.87531662256376
2.2372873107488784	79.03413482610465
2.2406998806717304	79.19239353483484
2.2441147532649293	79.34912101830275
2.247527827709255	79.5040708834888
2.2509431266177584	79.65817897450258
2.254356523870728	79.809747946003
2.2577720662928624	79.9605190406577
2.2611856023860875	80.10962159511493
2.264597066922491	80.25749452529234
2.2680105431522555	80.40401641391608
2.27142600266437	80.54913173820582
2.2748392429917357	80.69262453925691
2.2782543840346183	80.83481148185729
2.2816671977230616	80.97571718394204
2.2850818284686114	81.11499078696242
2.288498246625101	81.25337273760668
2.2919121856026052	81.38971942491742
2.295323577407301	81.52527482568188
2.298740877697569	81.65914485009411
2.3021512698211293	81.79165036578708
2.3055675088744563	81.9230500364758
2.308981001689733	82.05301705894608
2.312395991533179	82.18222106135084
2.3158081212523536	82.30913776097312
2.319221659001649	82.43539348823377
2.3226365726484572	82.56029253694453
2.326052829839421	82.68389125537121
2.3294660212954	82.80616429155133
2.3328804652287407	82.92705028310873
2.3362917261598666	83.0463534909973
2.339708562674114	83.16476258989364
2.34312212354047	83.28223387921848
2.3465367773256434	83.39812928377887
2.3499480359745712	83.51291123370036
2.3533647602722803	83.626411571434
2.3567779947200074	83.73844852422718
2.360192158541991	83.8493760943006
2.363607216730996	83.95926591568835
