Photon energy (eV)	Abs(%)
1.7943058025293206	12.109312037511922
1.81740916350753	11.302427641458712
1.8405112279145053	11.935168273075936
1.8636141339663328	13.637124478913432
1.8867156518023127	14.983478432077524
1.9098173790459052	15.16987440761568
1.932922145649167	15.133086245033079
1.9560248250749024	15.7434309079181
1.9791270994148504	17.33393234611419
2.0022285440688976	19.368840846538394
2.0253329296945566	22.20428930033527
2.0484351159286587	26.273898715791855
2.071537265810981	32.65084369361331
2.094639040215991	40.85365326228926
2.117740874315409	49.018567390140596
2.140844020624356	54.29736223290054
2.163946815228321	56.15846097127727
2.18705203125824	56.2217223689775
2.2101515636539317	57.05663383836694
2.233257411346983	59.52774359875783
2.2563586166983223	63.36122621394375
2.2794606983251686	68.05601683702012
2.302561710152857	73.66273223403529
2.325664509348539	79.8228464740976
2.3487683186023944	85.73295560239671
2.3718728582459443	90.36637233782324
2.3949737457572224	93.10630939072108
