Photon energy (eV)	Abs(%)
1.81740916350753	18.704870557261966
1.8405112279145053	18.085376820115528
1.8636141339663328	16.833596113691552
1.8867156518023127	16.451962953304676
1.9098173790459048	17.7198183161863
1.932922145649167	19.912945111154823
1.9560248250749024	22.017335146159077
1.9791270994148504	23.864158127554735
2.0022285440688976	26.323033841188483
2.0253329296945566	30.143402544162978
2.0484351159286587	35.15343784335877
2.071537265810981	40.41855194959309
2.094639040215991	44.94554500500561
2.117740874315409	48.318619311308645
2.140844020624356	50.56595206193242
2.163946815228321	52.068337365036285
2.18705203125824	53.36330185297625
2.210151563653932	55.14724776968808
2.233257411346983	57.9755378996881
2.2563586166983223	62.09597060694654
2.2794606983251686	67.39820032076302
2.302561710152857	73.46632343606743
2.325664509348539	79.67589542300414
2.3487683186023944	85.20759028087383
2.3718728582459443	89.33181478301809
2.3949737457572224	91.70778250056834
2.4180762211813955	92.55337822086311
2.441181650158358	92.43873477326237
2.4642822033735703	91.94348785871965
