Photon energy (eV)	p1(%)	p2(%)
1.7943058025293206	42.66372718413306	6.04599330622412
1.81740916350753	46.120381103265515	4.3687544036617005
1.8405112279145053	49.874194316691536	2.3138903272188602
1.8636141339663328	52.75827497699153	1.4160585409164
1.8867156518023127	54.86636368129425	1.49131419080808
1.9098173790459052	56.96608310052162	1.49091738190382
1.932922145649167	59.29438138025591	1.07091945984577
1.9560248250749024	61.44824196835064	0.70662712266676
1.9791270994148504	63.026438762197635	0.8853839380265001
2.0022285440688976	64.07054623957926	1.5680688246117898
2.0253329296945566	64.78012097905894	2.5249358749991
2.0484351159286587	65.24428324637474	3.6589208137246496
2.071537265810981	65.65601460008051	4.74793171424905
2.094639040215991	66.35582814096887	5.40034363930437
2.117740874315409	67.5146585105725	5.424607206101871
2.140844020624356	68.97023437902612	5.02329083049107
2.163946815228321	70.30033227042833	4.69348786568442
2.18705203125824	71.0269776550773	4.9739306407218296
2.2101515636539317	70.88881336990288	6.11015457099751
2.233257411346983	69.94508084469858	7.958696784658451
2.2563586166983223	68.23370555409228	10.432084340076129
2.2794606983251686	65.48500984488575	13.849500738827961
2.302561710152857	61.45185076246739	18.51121783377037
2.325664509348539	56.346366928015634	24.164568626031798
2.3487683186023944	50.72303776725436	30.16953529795266
2.3718728582459443	45.08612006226803	36.01551134600538
2.3949737457572224	39.82239046314114	41.43556459000228
