Photon energy	QE(%)
1.7712028336747536	0.012209837698194333
1.81740916350753	0.04122788652438814
1.8636141339663328	0.09637528322235674
1.9098173790459054	0.19663150044483615
1.9560248250749026	0.36306799610914153
2.0022285440688976	0.5412968719278634
2.0484351159286587	0.9014118183732681
2.094639040215991	1.2812176438316185
2.140844020624356	1.7385865634864959
2.18705203125824	2.2050565408815714
2.233257411346983	2.8769397751359853
2.2794606983251686	3.866772463798799
2.325664509348539	4.351920735051155
2.3718728582459443	5.2762306815854405
2.4180762211813955	6.113242841647377
2.4642822033735703	6.916598444012145
2.5104876506177347	7.76956120849076
2.5566915155943577	8.19119672219488
2.6029000496972228	9.273839232652538
2.6491048165845004	9.708674902437794
