Photon energy	QE(%)
1.8807692307692307	58.69820039221152
2.0153846153846158	111.49205374949169
2.069230769230769	153.6573998712348
2.1500000000000004	206.97236453338746
2.230769230769231	312.6256864984637
2.298076923076924	461.5154798243168
2.325	541.8025623767081
2.378846153846154	636.0567075880343
2.473076923076923	799.839169794385
2.580769230769231	1005.7950649766971
2.6884615384615387	1180.7672055499925
2.809615384615385	1354.7787676264693
2.944230769230769	1554.4346934640419
3.105769230769231	1703.6297421695501
3.253846153846154	1867.1445706971572
3.482692307692308	1954.6963971727146
