Photon energy	QE(%)
1.7712028336747536	0.006279345101928515
1.81740916350753	0.032982309219510515
1.8636141339663328	0.07359567082434515
1.9098173790459054	0.1590530359153786
1.9560248250749026	0.31394703192966944
2.0022285440688976	0.5468844525413122
2.0484351159286587	0.8842660830867278
2.094639040215991	1.4048653148553683
2.140844020624356	2.0958661022829705
2.18705203125824	2.7365790704218207
2.233257411346983	3.741972175320941
2.2794606983251686	4.780457506900396
2.325664509348539	5.987458158838822
2.3718728582459443	7.161579050970242
2.4180762211813955	8.496495125585131
2.4642822033735703	10.002648118859796
2.5104876506177347	11.373782804853901
2.5566915155943577	12.7807648373398
2.6029000496972228	13.913953053077307
2.6491048165845004	15.018544031303774
